# 0.01
idx	x	y	z	r_solid	r_surf
4	109	332	24	0.764963	0.894703
5	109	333	24	1.17033	1.5711
6	109	334	24	1.15904	1.45155
7	109	335	24	1.25008	1.77908
8	109	336	24	1.18805	1.4399
9	109	337	24	1.13951	1.84772
10	109	338	24	0.952418	1.40211
11	110	339	24	0.753947	1.10377
12	111	340	24	0.395731	0.497328
13	111	341	24	0.509802	0.615227
14	111	342	23	0.553876	0.515241
15	110	343	22	0.643419	0.830524
16	110	344	22	0.433241	0.526861
17	110	345	22	0.648876	0.786986
18	110	346	21	0.460759	0.600328
19	110	347	21	0.472782	0.55402
20	111	348	21	0.574076	0.758569
21	111	349	21	0.681121	0.820983
22	111	350	21	0.614736	0.778231
23	111	351	21	0.655078	0.810375
24	112	352	21	0.779099	1.02813
25	113	353	21	0.942371	1.11709
26	114	353	21	0.456246	0.456246
27	115	354	21	0	0
28	115	355	21	0.331552	0.331552
29	115	356	20	0.440443	0.440443
30	115	357	20	1.02204	1.02204
31	115	358	20	1.77429	1.77584
32	116	359	20	1.2758	1.31623
33	117	360	20	0.573645	0.667751
34	118	361	19	0.274667	0.274667
35	119	361	19	0	0

# 4.01
idx	x	y	z	r_solid	r_surf
0	110	327	24	0.449248	0.540983
1	111	326	24	0	0
2	111	325	24	0.686573	0.686573
3	112	324	24	0	0
4	113	324	24	0.433241	0.433241
5	114	323	24	0.850667	0.850667
6	115	323	24	1.04996	1.04996
7	116	323	24	1.14016	1.15916
8	117	323	23	0.670282	0.669344
9	118	323	22	0.206	0.206
10	119	323	22	0.206	0.206
11	120	322	23	0.407545	0.406431
12	120	321	23	0.979633	1.29688
13	121	321	22	0.525319	0.497328
14	122	321	22	0.58034	0.744584
15	123	320	22	0.658063	0.869062

# 5.01
idx	x	y	z	r_solid	r_surf
0	119	312	23	0.633706	0.958629
1	120	311	24	0.539535	0.670783
2	120	310	24	0.568886	0.738693
3	121	309	24	0.547633	0.633814
4	122	308	24	0.328	0.328
5	123	308	24	0.320861	0.320861
6	124	308	24	0.246	0.246
7	125	307	23	0.366431	0.366431
8	125	307	23	0	0
9	126	306	23	0.301333	0.301333
10	127	305	23	0.246	0.246
11	128	304	23	0	0

# 6.01
idx	x	y	z	r_solid	r_surf
0	120	313	23	0.491673	0.702159
1	120	314	23	0.781493	0.781493
2	121	315	22	0.38162	0.38162
3	122	316	22	0.454664	0.454664
4	122	317	22	0.527796	0.60693
5	123	318	22	0.409682	0.492
6	124	319	22	0.529804	1.04441

# 7.01
idx	x	y	z	r_solid	r_surf
0	125	318	21	0.55641	0.518345
1	126	318	21	0.970359	1.13644
2	127	318	21	0.622393	0.911162

# 8.01
idx	x	y	z	r_solid	r_surf
0	127	315	21	0	0
1	127	316	21	0.548927	0.548927
2	127	317	21	0.519709	0.622982

# 9.01
idx	x	y	z	r_solid	r_surf
0	128	319	21	0.680085	1.13226
1	129	319	21	0.673414	0.987856
2	130	319	21	0.744601	1.04337
3	131	319	21	0.748957	1.07197
4	132	319	21	0.825716	1.32409
5	133	320	20	0.701768	1.04983
6	134	320	19	0.658819	0.901483
7	135	320	19	0.441635	0.641723
8	136	320	19	0.686925	1.02129
9	137	320	19	0.702255	1.06712
10	138	320	19	0.71262	0.925282
11	139	319	19	0.525872	0.723084
12	140	319	19	0.592565	0.822299
13	141	318	19	0.531921	0.702159
14	142	318	19	0.562636	0.783064
15	143	317	19	0.531921	0.702159
16	144	317	19	0.569606	0.945385
17	145	317	19	0.744423	1.07765
18	146	316	19	1.01184	1.46893
19	147	316	19	1.09634	1.98764
20	148	316	19	1.26409	1.86731
21	149	316	19	1.05207	1.60684
22	150	316	19	0.80813	1.02539
23	151	316	19	0.657799	0.751958
24	152	315	18	1.42618	1.99008
25	152	315	18	0	0
26	153	315	18	0.753726	1.04802
27	154	314	18	1.73875	2.53381
28	155	314	18	1.07678	1.28345
29	156	314	18	0.79986	1.10331
30	157	314	18	0.800108	1.22145
31	158	313	18	1.58392	2.35032
32	159	313	18	1.48372	2.28242
33	160	314	17	0.725211	1.05719
34	161	314	17	0.695126	0.959708
35	162	314	17	1.02441	1.43788
36	163	314	17	1.04389	1.39904
37	164	315	18	0.704427	0.949723
38	165	315	18	0.883732	1.11138
39	165	314	18	0.744065	1.06677
40	166	313	18	1.04882	1.54828
41	167	312	18	1.20739	1.63731
42	168	312	18	0.801383	1.28345
43	169	312	18	0.909573	1.34117
44	170	312	17	1.0168	1.58931
45	171	312	17	0.814592	1.13266
46	172	311	17	0.846439	1.29483
47	173	310	17	0.851105	1.23606
48	174	310	17	0.792249	1.21122
49	175	310	17	0.806481	1.22913
50	176	310	17	0.831464	1.30159
51	177	310	17	0.902443	1.35659
52	178	310	17	0.92405	1.5453
53	179	310	17	0.90664	1.43892
54	180	310	18	0.756494	1.05463
55	181	310	18	0.702771	0.902941
56	182	309	17	1.33893	1.85266
57	182	308	17	0.999525	1.4783
58	183	307	17	0.999514	1.43079
59	184	306	16	1.49218	1.82347
60	184	305	16	1.10231	1.6771
61	185	304	16	0.948034	1.36716
62	186	303	15	0.993235	1.39761
63	187	303	15	1.04571	1.85309
64	188	303	15	0.990867	1.50421
65	189	303	15	1.27196	1.71975
66	190	302	14	1.29675	1.89575
67	191	302	14	1.24137	1.99029
68	192	302	14	1.26112	2.32016
69	193	302	14	1.3495	2.20759
70	194	303	14	1.08458	1.70964

# 10.01
idx	x	y	z	r_solid	r_surf
0	194	304	15	0.921255	0
1	194	305	15	0.815581	0
2	194	306	15	1.4357	1.88195
3	195	307	16	1.4365	2.27793
4	196	308	16	1.39323	1.99522
5	197	308	16	0.993145	1.47093
6	198	309	16	1.19871	1.70599
7	199	309	16	1.122	1.75956
8	200	310	16	1.11469	1.67007
9	200	311	16	1.06338	1.57299
10	201	312	17	0.940749	1.26743
11	202	312	17	0.739056	1.06677
12	203	312	17	0.466646	0
13	204	311	17	0.910275	1.06779
14	204	312	17	0.966821	1.21638
15	204	313	17	0.301333	0
16	204	314	17	0.64738	0.741286
17	205	315	17	0.793738	0.865896
18	206	316	17	0.747456	0.747456
19	207	317	18	0.206	0.206
20	208	317	18	0.879534	0.964784
21	209	318	18	0.425676	0.582656
22	210	318	18	0.743719	1.33721
23	211	318	18	0.983289	1.49806
24	212	318	18	0.874542	1.30801
25	213	319	18	1.15473	1.64518
26	214	319	18	1.06727	1.52709
27	215	320	18	1.17201	1.7733
28	216	321	18	1.22072	1.7495
29	216	322	18	1.19166	1.71715
30	217	323	18	1.13706	1.74406
31	218	324	18	1.0436	1.40283
32	218	325	18	0.852656	1.48694
33	218	326	18	0.820055	1.14371
34	219	327	19	0.870048	1.22872
35	220	328	19	0.611909	0.861152
36	221	328	19	0.820635	1.20325
37	222	329	20	0.719392	1.07086
38	223	330	20	0.796201	1.16795
39	224	330	20	0.813251	1.11445
40	225	331	20	0.892708	1.29647
41	226	331	20	0.949375	1.39451
42	227	332	19	1.00698	1.46194
43	228	332	19	0.909004	1.24062
44	229	333	20	0.926036	1.41663
45	230	333	20	0.79157	1.31572
46	231	334	20	0.954977	1.33192
47	232	335	20	0.855504	1.23378
48	233	336	20	0.96925	1.39382
49	234	336	20	0.793495	1.28345
50	235	336	20	0.756678	1.00667
51	236	337	20	0.962893	1.34049
52	237	338	20	0.93319	1.27632
53	238	339	20	0.936302	1.29787
54	239	340	20	0.944525	1.4106
55	240	341	20	0.968973	1.34932
56	241	342	20	0.95507	1.39601
57	242	343	20	0.899315	1.19648
58	243	344	20	0.942259	1.39398
59	244	344	20	0.988996	1.38477
60	245	345	20	1.02891	1.47209
61	245	346	20	1.06125	1.56118
62	246	347	20	1.18816	1.74215
63	247	348	20	1.15914	1.78665
64	248	349	20	1.24183	1.84123
65	249	350	21	1.17178	1.82728
66	249	351	21	1.00004	2.02721

# 11.01
idx	x	y	z	r_solid	r_surf
0	195	302	14	1.47713	2.22372
1	196	303	14	0.840343	1.69043
2	197	303	14	1.07821	1.67337
3	198	302	13	1.05444	1.66672
4	199	302	13	1.01663	1.50855
5	200	301	13	1.10961	1.75686
6	201	300	13	1.1751	1.86586
7	201	299	13	1.58576	2.34348
8	202	298	13	1.43578	2.17103
9	202	298	13	0	0
10	203	297	13	1.33883	2.13821
11	204	296	13	1.2492	1.78674
12	205	296	13	1.26346	1.8617
13	206	296	12	1.24676	1.83704
14	207	296	12	1.1685	1.8312
15	208	296	11	1.08832	1.69405
16	209	296	11	0.940361	1.52883

# 12.01
idx	x	y	z	r_solid	r_surf
0	234	358	31	0	0
1	235	358	30	0.618	0.618
2	236	358	30	0.789929	0.789929
3	237	357	31	0.958155	0.995628
4	238	357	31	0.841845	1.21206
5	239	356	31	1.09571	1.46491
6	240	356	30	1.10513	1.70696
7	240	356	29	1.17966	2.30096
8	240	356	28	1.05491	1.52192
9	241	355	27	1.05523	1.69871
10	242	354	26	0.749594	0.995969
11	243	354	26	1.22004	1.98429
12	244	354	25	0.94224	1.26378
13	245	354	25	0.816235	0
14	246	354	25	1.47712	2.11483
15	247	354	24	1.39348	2.18965
16	247	354	24	0	0
17	248	353	23	1.31391	2.20337
18	249	352	22	0.901515	0

# 13.01
idx	x	y	z	r_solid	r_surf
0	250	353	21	1.24901	1.97049
1	251	353	21	1.09515	1.92517
2	252	353	21	1.14818	0
3	253	353	21	1.36587	2.03075
4	254	353	20	1.21308	1.89207
5	255	353	20	1.24271	1.79918
6	256	352	19	1.08991	1.51364
7	257	352	19	0.985174	1.92517
8	258	352	19	1.19282	1.80041
9	259	352	18	1.12658	1.6087
10	260	352	18	1.05449	1.57526
11	261	351	18	1.13595	1.61121
12	262	351	18	1.02261	1.486
13	263	351	17	0.966908	1.29021
14	264	351	16	1.11132	1.63606
15	265	351	16	1.00489	1.566
16	266	350	16	0.926434	1.34795
17	267	350	16	0.936502	1.36166
18	268	349	15	1.0154	1.4871
19	269	349	15	0.968864	1.41493
20	270	350	15	1.01761	1.49066
21	271	350	15	0.882256	1.51773
22	272	350	15	1.16566	1.64199
23	273	350	14	1.14639	1.84033
24	274	350	13	1.09269	1.82427
25	275	350	12	1.11797	1.62035
26	276	350	11	1.12158	1.68395
27	277	350	10	0.872347	1.35206
28	278	351	9	0.676714	1.00399
29	279	351	9	0.851539	1.30433
30	280	352	8	0.651921	0.923688
31	281	352	8	0.604138	0.945385
32	282	352	8	1.05403	1.52927
33	282	352	8	0	0
34	283	352	7	0.879822	1.54758
35	284	353	6	0.82846	1.20281
36	285	353	6	1.10041	2.33295
37	286	353	5	1.17074	1.89327
38	287	352	4	0.994109	1.36661
39	288	352	4	1.17308	1.75422
40	289	352	5	1.24308	2.09521
41	290	352	5	1.44679	2.07662
42	291	352	4	1.28476	1.9826
43	292	353	3	1.397	2.09538
44	293	354	2	1.55302	2.30036
45	294	355	1	1.50662	2.23712
46	295	356	0	1.90123	4.55526
47	296	357	0	3.48986	5.84222
48	297	358	0	6.26158	8.12309
49	297	359	0	1.55454	2.66048
50	297	360	0	1.5519	2.37154
51	296	361	1	1.53384	2.52024
52	296	362	1	1.39062	2.17407
53	295	363	1	1.57502	2.28726
54	295	364	1	1.16834	2.49426
55	295	365	1	1.32403	1.88367
56	294	366	1	1.10061	1.69037
57	293	367	1	0.99236	1.56484
58	292	368	2	1.51773	2.16529
59	292	369	2	1.23208	1.81715
60	291	370	2	1.11983	1.89387
61	290	371	2	1.25026	1.86153
62	289	372	3	1.39268	2.1159
63	288	373	4	1.58263	2.31393
64	288	374	4	1.27561	1.88205
65	287	375	5	1.73458	2.70341
66	287	376	5	1.53018	2.36478
67	287	377	6	1.4463	2.27293
68	288	378	7	1.5631	2.33186
69	288	379	7	1.49042	2.24018
70	289	380	8	1.79961	2.66428
71	289	381	8	1.34674	2.56689
72	289	382	8	1.56536	2.35422
73	289	382	8	0	0
74	290	383	9	1.76695	2.66009
75	290	384	9	1.31067	1.8932
76	291	385	9	1.31377	1.87127
77	291	386	9	1.33895	2.01864
78	292	387	10	1.18498	2.03461
79	292	388	11	1.69503	2.45426
80	292	389	11	1.09045	1.81965
81	292	390	11	1.05223	1.6345
82	292	391	11	1.24189	1.81996
83	292	392	12	1.38589	2.1506
84	292	393	13	1.56608	2.39331
85	292	394	14	1.82933	2.88303
86	292	394	15	1.71072	2.44811
87	291	395	16	1.45138	2.19483
88	291	395	16	0	0
89	290	396	17	1.19469	1.72876
90	290	397	17	1.47748	1.9693
91	289	398	18	0.782936	1.10406
92	289	399	18	0.836957	1.2833
93	289	400	18	1.10479	1.85878
94	289	401	18	1.31019	1.95388
95	289	402	18	1.65326	2.30998
96	288	403	19	1.12602	1.82362
97	287	404	20	1.26156	1.90156
98	287	404	20	0	0
99	287	405	20	1.02449	1.76593
100	288	406	21	1.176	1.77152
101	288	407	21	1.05867	1.55287
102	287	408	21	1.24672	1.72904
103	286	408	21	0.99635	0
104	285	408	21	1.03851	1.67528
105	284	409	21	1.14021	1.69886
106	283	409	21	1.02938	1.58022
107	282	410	22	1.09606	1.68033
108	281	411	23	1.05502	1.83166
109	280	411	24	1.27264	1.8193
110	279	412	25	1.18907	1.84906
111	278	413	25	1.25313	2.17083
112	277	414	25	1.51741	2.22928
113	277	415	25	0.863999	1.53242
114	277	416	25	1.09159	1.49566
115	276	417	26	1.11944	1.87959
116	276	418	26	0.677204	0
117	276	419	26	1.1824	1.74483

# 14.01
idx	x	y	z	r_solid	r_surf
0	210	295	11	1.12495	1.77603
1	211	296	11	1.16196	1.67641
2	212	296	11	0.930869	1.69043
3	213	296	11	0.893816	1.39788
4	214	296	11	0.780866	1.12971
5	215	296	11	0.684573	0.890477
6	216	296	11	0.246	0.246
7	217	295	10	0.642399	0.642399
8	218	294	11	0.443861	0.443861
9	219	293	11	0.529431	0.529431
10	220	292	11	0.246	0
11	221	291	10	0.603778	0.661929
12	222	290	10	0.677151	0.721267
13	223	289	10	0.678232	0.715356
14	224	288	10	0.652258	0.571783
15	224	287	10	2.94782	2.4159
16	225	286	9	1.96908	1.99972
17	226	285	9	1.8336	1.7644
18	227	285	9	0.756154	0.955396
19	227	284	9	0.814388	1.16681
20	228	283	9	0.914034	1.20775
21	228	282	9	2.2366	2.83348
22	229	281	9	1.75702	2.11379
23	230	280	8	1.88661	2.24098
24	231	279	7	1.73846	2.24146
25	232	278	7	1.60339	2.20471
26	233	278	7	0.630967	0.887918
27	234	277	7	0.839319	1.07421
28	235	276	7	0.765572	1.08153
29	236	275	6	0.68068	1.00852
30	236	274	6	0.666205	0.891854
31	236	273	6	0.99671	1.60718
32	235	272	6	0.901192	1.28078
33	234	271	6	1.85187	2.59954
34	234	270	6	1.55156	2.61917
35	234	269	6	1.31497	1.90161
36	234	268	6	1.3061	1.87129
37	235	267	5	0.955994	1.45492
38	235	266	5	1.32971	1.90985
39	236	265	5	1.38972	1.77097
40	236	264	5	0.962334	1.04253
41	237	263	4	1.02426	1.02426
42	237	262	4	1.0123	1.10433
43	237	261	4	0.88161	1.08392
44	237	260	4	0.789225	1.37686
45	236	259	5	0.766832	1.16755
46	236	258	4	0.501707	0.781491
47	236	257	4	1.19584	1.79317
48	237	257	3	0.929558	1.5726
49	238	257	3	0.881987	1.10669
50	239	256	4	1.03596	1.6792
51	240	255	4	1.31663	2.05834
52	241	254	4	1.20588	1.75181
53	242	253	4	1.13689	1.62455
54	243	252	4	0.987207	1.51989
55	244	251	4	0.987523	1.42558
56	245	250	3	1.13476	1.63633
57	246	250	3	0.900851	1.57986
58	247	250	3	1.04368	1.52516
59	248	249	3	1.05208	1.60585
60	248	248	3	1.15449	2.08176
61	249	247	3	1.00416	1.56043
62	250	246	3	1.48595	2.19806
63	250	245	3	1.0439	1.62989
64	249	244	3	1.10594	0
65	249	243	3	0.972267	1.66419
66	248	242	3	1.31687	1.9405
67	248	241	3	1.1054	1.62891
68	249	240	3	1.01877	1.96314
69	249	239	3	1.10248	1.82159
70	250	238	3	1.22309	1.72571
71	250	237	3	1.54498	2.85268
72	250	236	3	1.43895	2.6725
73	249	235	4	1.07839	1.5741
74	249	234	4	1.20847	1.72264
75	250	233	3	1.05523	1.73949
76	251	232	3	1.26075	1.7337
77	252	231	4	1.55467	2.09595

# 15.01
idx	x	y	z	r_solid	r_surf
0	211	294	11	1.30916	1.96213
1	212	293	10	1.05774	1.58985
2	213	292	10	1.35389	1.85741
3	213	292	10	0	0
4	214	291	9	1.73657	2.38996
5	215	291	9	0.664976	0.938861
6	216	291	9	0.466646	0.515241
7	217	290	9	1.30238	1.15616
8	218	290	9	0.320861	0.320861
9	219	289	9	0.328	0.328
10	219	288	9	2.23722	1.94983
11	220	287	8	2.32302	2.00699

# 16.01
idx	x	y	z	r_solid	r_surf
0	188	410	24	0.320861	0.320861
1	188	409	24	0	0
2	188	408	23	0.309	0.309
3	189	407	23	0.246	0.246
4	190	407	23	0.206	0.206
5	191	407	23	0.518954	0.540345
6	192	407	23	0.746271	1.08971
7	193	406	23	0.839336	1.17746
8	194	406	23	0.780774	1.139
9	195	406	23	0.936193	1.34711
10	196	405	23	0.833912	1.22655
11	197	404	23	0.860032	1.17762
12	198	404	23	0.816464	1.06169
13	198	405	23	0.713725	1.06677
14	198	406	23	0.718454	1.05932
15	199	407	23	0.944462	1.4401
16	200	408	23	1.16078	1.55589
17	201	408	23	0.756304	1.06677
18	202	408	23	0.651154	0.990727
19	203	409	23	0.795127	1.019
20	204	409	23	0.386431	0.566861
21	204	409	22	0.667227	0.753985
22	205	408	22	0.328	0.492
23	206	408	22	0.453386	0.632106
24	207	407	23	0.394954	0.469431
25	208	407	23	0.58731	0.616746
26	209	407	22	0.563564	0.775193
27	210	407	22	0.57781	0.702159
28	211	406	22	0.779144	1.05766
29	212	406	22	0.820592	1.16553
30	213	406	22	0.985343	1.52468
31	214	406	22	1.01261	1.46511
32	215	406	22	0.962132	1.30688
33	216	406	22	1.0142	1.53806
34	217	405	22	1.09809	1.54827
35	218	405	22	0.915423	1.45916
36	219	405	22	0.821663	1.15716
37	220	405	22	0.970666	1.33168
38	221	406	22	1.09058	1.57546
39	221	407	22	0.714366	1.05186
40	222	408	22	0.716426	1.05346
41	223	408	22	0.602114	0.95016
42	224	408	22	0.739935	0.824
43	225	408	22	0.890879	0.824
44	226	408	22	1.03409	1.45783
45	227	408	22	1.01084	1.46667
46	228	408	22	0.920592	1.35321
47	229	408	22	0.807914	1.26158
48	230	409	22	0.561129	0.783064
49	231	409	22	0.657448	0.959708
50	232	409	22	0.762762	1.13785
51	233	409	22	0.925591	1.48222
52	234	410	22	0.659624	0.931605
53	235	410	22	0.805458	1.24949
54	236	410	22	0.93779	1.26062
55	237	410	22	0.936702	1.55044
56	238	410	22	0.983823	1.394
57	239	411	22	0.872441	1.22924
58	240	411	22	0.825425	1.33032
59	241	411	22	0.948832	1.37312
60	242	411	22	0.895919	1.25727
61	243	411	22	0.990888	1.33465
62	244	412	23	0.877584	1.17902
63	245	412	23	0.880813	1.39332
64	246	412	23	0.974659	1.71987
65	247	412	23	1.08499	1.58643
66	248	412	23	1.012	1.71987
67	249	412	23	0.932268	0
68	250	412	23	1.10103	1.57953
69	251	413	24	1.00541	1.54823
70	252	413	24	0.951037	1.67361
71	253	414	24	1.0936	1.52302
72	254	414	24	0.898712	1.38003
73	255	413	24	1.02067	1.51791
74	256	413	24	0.8881	1.30862
75	257	414	24	0.956697	1.39155
76	258	414	24	0.948597	1.43277
77	259	414	24	0.867491	1.32507
78	260	414	24	0.827081	1.0909
79	261	415	24	0.901213	1.25767
80	262	415	24	0.607559	0.731903
81	263	415	24	1.06183	1.34265
82	264	416	25	0.745581	1.04358
83	265	416	25	0.721207	1.12158
84	266	416	25	0.904082	1.33056
85	267	416	25	0.978054	1.65413
86	268	416	25	1.48536	2.09926
87	269	417	25	1.00195	1.14357
88	269	418	25	0.789503	1.15836
89	270	419	26	0.860997	1.20404
90	271	419	26	0.978139	1.51082
91	272	418	26	0.955659	0
92	273	418	26	1.10106	1.77849
93	274	418	26	1.04635	1.8078
94	275	419	27	1.0756	1.73125

# 17.01
idx	x	y	z	r_solid	r_surf
0	225	466	48	0	0
1	226	466	48	0.206	0.206
2	227	465	47	0.569147	0.669578
3	228	465	47	0.586671	0.796816
4	229	465	47	0.662099	0.985385
5	230	465	47	0.562161	0.793333
6	231	465	47	0.714367	0.946979
7	232	464	46	0.640239	0.889343
8	233	464	46	0.617472	1.06677
9	234	464	46	0.790887	1.05115
10	235	465	45	0.656945	0.893277
11	236	465	45	0.73782	1.33799
12	237	465	44	0.534204	0.655897
13	238	465	44	0.559822	0.755912
14	239	465	45	0.874578	1.30478
15	240	465	45	0.763352	1.14106
16	241	465	45	0.834278	1.2487
17	242	465	45	0.853512	1.34152
18	243	465	45	0.980598	1.33381
19	244	464	45	0.814787	1.18828
20	245	464	45	0.933445	1.63025
21	246	464	45	1.00095	1.37569
22	247	464	45	1.04049	1.49498
23	248	463	45	0.965463	1.16118
24	249	463	45	0.952019	1.35388
25	250	462	45	0.587261	0.777783
26	251	462	45	0.552506	0.710057
27	252	461	44	1.05597	1.49133
28	253	461	44	0.703292	0.972211
29	254	460	44	0.724311	1.02421
30	255	459	43	0.807455	1.10406
31	256	458	42	0.676492	0.927379
32	257	457	42	0.606386	0.726515
33	258	457	42	0.501086	0.69781
34	259	457	42	0.815437	0.815437
35	260	457	42	0.684751	0.684751
36	261	457	42	0.81999	0.81999
37	262	458	42	0.371664	0.371664
38	263	458	43	0	0
39	264	457	42	0.636302	0.708038
40	265	456	42	1.09595	1.59674
41	266	456	42	0.769047	1.10331
42	267	456	42	0.771702	1.10883
43	268	455	41	0.873763	1.34394
44	269	455	41	0.847318	1.2387
45	270	454	41	1.0853	1.52374
46	271	454	41	0.782075	1.39332
47	272	454	41	0.696739	0.876196
48	273	453	40	0.857097	1.0541
49	274	453	40	0.541684	0.891854
50	275	453	40	0.508451	0.593192
51	275	452	40	0.84305	0.985123
52	276	451	39	0.650835	0.824031
53	277	450	39	0.839261	1.16999
54	278	449	39	0.929334	1.32118
55	278	448	38	0.969569	1.45753
56	278	447	38	0.953688	1.35774
57	279	446	38	0.851116	1.11011
58	280	445	37	0.958341	1.64292
59	281	444	36	0.99994	1.40962
60	282	444	36	0.848952	1.18798
61	283	443	36	0.784291	1.15334
62	284	442	35	0.855116	1.23479
63	284	441	35	0.827579	1.29421
64	284	440	35	0.916093	1.30109
65	283	439	34	1.08859	1.7791
66	282	438	34	1.06644	1.47494
67	282	437	34	0.978511	1.40092
68	282	436	33	1.13709	1.63912
69	282	435	33	0.824649	1.41892
70	282	434	33	0.976334	1.37231
71	281	433	32	0.941014	1.47083
72	281	432	31	1.03946	1.65223
73	281	431	31	0.983624	1.71051
74	280	430	31	0.890675	1.33225
75	280	429	31	1.00147	1.43181
76	280	428	30	1.10914	1.66166
77	280	427	30	1.21488	1.7005
78	279	426	29	1.22319	1.83327
79	278	425	28	1.13189	1.64409
80	278	424	28	1.0364	1.68335
81	277	423	28	1.27187	1.75527
82	277	422	28	1.2623	1.92226
83	277	421	27	1.13944	1.77762
84	277	420	27	1.1841	1.89221

# 18.01
idx	x	y	z	r_solid	r_surf
0	253	230	3	1.86081	3.25402
1	254	229	3	2.42683	3.1501
2	255	228	2	2.88177	4.02244
3	256	227	2	3.51953	3.96831
4	257	226	2	3.73952	3.60607
5	258	225	2	5.20039	4.94012
6	259	224	3	4.98715	5.23209
7	259	223	3	1.03352	0.938861
8	259	222	3	1.56587	1.89603
9	260	221	4	1.32338	1.52955
10	261	220	4	0.824905	1.29472
11	262	219	4	1.45168	1.91035
12	262	218	4	0.819816	1.1063
13	262	217	4	1.03256	1.5251
14	262	216	4	0.764458	1.02147
15	263	215	4	0.523349	0.755815
16	264	215	4	0.624077	1.33032
17	265	215	4	1.02693	1.28302
18	266	215	5	1.01634	1.44184
19	267	215	5	1.60546	2.43262
20	268	214	5	1.12094	1.5889
21	269	214	5	1.55138	2.25604
22	270	213	5	1.02231	1.642
23	271	212	5	1.48687	2.08312
24	272	212	5	0.892848	1.51038
25	273	212	5	0.771345	1.06072
26	274	212	6	0.765075	1.03417
27	275	211	7	0.7315	0.895152
28	276	210	7	0.830695	1.06102
